,player_id,Year,Age,BA,Age^2,BA_1,BA_2,BA_3,BA_4
220,adamsma01,2016.0,27.0,0.249,729.0,0.24,0.28800000000000003,0.284,0.244
221,adamsma01,2017.0,28.0,0.292,784.0,0.249,0.24,0.28800000000000003,0.284
222,adamsma01,2018.0,29.0,0.257,841.0,0.292,0.249,0.24,0.28800000000000003
772,alonsyo01,2015.0,28.0,0.282,784.0,0.24,0.281,0.273,0.33
773,alonsyo01,2016.0,29.0,0.253,841.0,0.282,0.24,0.281,0.273
774,alonsyo01,2017.0,30.0,0.266,900.0,0.253,0.282,0.24,0.281
775,alonsyo01,2018.0,31.0,0.25,961.0,0.266,0.253,0.282,0.24
886,altuvjo01,2015.0,25.0,0.313,625.0,0.341,0.28300000000000003,0.29,0.276
887,altuvjo01,2016.0,26.0,0.338,676.0,0.313,0.341,0.28300000000000003,0.29
888,altuvjo01,2017.0,27.0,0.34600000000000003,729.0,0.338,0.313,0.341,0.28300000000000003
889,altuvjo01,2018.0,28.0,0.316,784.0,0.34600000000000003,0.338,0.313,0.341
922,alvarpe01,2014.0,27.0,0.231,729.0,0.233,0.244,0.191,0.256
923,alvarpe01,2015.0,28.0,0.243,784.0,0.231,0.233,0.244,0.191
924,alvarpe01,2016.0,29.0,0.249,841.0,0.243,0.231,0.233,0.244
926,alvarpe01,2018.0,31.0,0.18,961.0,0.249,0.243,0.231,0.233
976,amarial01,2016.0,27.0,0.257,729.0,0.204,0.239,0.236,0.24
977,amarial01,2017.0,28.0,0.238,784.0,0.257,0.204,0.239,0.236
1011,amezaal01,2008.0,30.0,0.264,900.0,0.263,0.26,0.161,0.21
1013,amezaal01,2011.0,33.0,0.242,1089.0,0.264,0.263,0.26,0.161
1207,andruel01,2013.0,24.0,0.271,576.0,0.28600000000000003,0.279,0.265,0.267
1208,andruel01,2014.0,25.0,0.263,625.0,0.271,0.28600000000000003,0.279,0.265
1209,andruel01,2015.0,26.0,0.258,676.0,0.263,0.271,0.28600000000000003,0.279
1210,andruel01,2016.0,27.0,0.302,729.0,0.258,0.263,0.271,0.28600000000000003
1211,andruel01,2017.0,28.0,0.297,784.0,0.302,0.258,0.263,0.271
1212,andruel01,2018.0,29.0,0.256,841.0,0.297,0.302,0.258,0.263
1404,ariasjo01,2014.0,29.0,0.254,841.0,0.271,0.27,0.276,0.29100000000000004
1567,atkinga01,2009.0,29.0,0.226,841.0,0.28600000000000003,0.301,0.329,0.287
1568,atkinga01,2010.0,30.0,0.214,900.0,0.226,0.28600000000000003,0.301,0.329
1705,avilaal01,2014.0,27.0,0.218,729.0,0.227,0.243,0.295,0.228
1706,avilaal01,2015.0,28.0,0.191,784.0,0.218,0.227,0.243,0.295
1707,avilaal01,2016.0,29.0,0.213,841.0,0.191,0.218,0.227,0.243
1708,avilaal01,2017.0,30.0,0.274,900.0,0.213,0.191,0.218,0.227
