,player_id,Year,Age,H,Age^2,H_1,H_2,H_3,H_4
220,adamsma01,2016.0,27.0,74.0,729.0,42.0,152.0,84.0,21.0
221,adamsma01,2017.0,28.0,93.0,784.0,74.0,42.0,152.0,84.0
222,adamsma01,2018.0,29.0,73.0,841.0,93.0,74.0,42.0,152.0
772,alonsyo01,2015.0,28.0,100.0,784.0,64.0,94.0,150.0,29.0
773,alonsyo01,2016.0,29.0,122.0,841.0,100.0,64.0,94.0,150.0
774,alonsyo01,2017.0,30.0,120.0,900.0,122.0,100.0,64.0,94.0
775,alonsyo01,2018.0,31.0,129.0,961.0,120.0,122.0,100.0,64.0
886,altuvjo01,2015.0,25.0,200.0,625.0,225.0,177.0,167.0,61.0
887,altuvjo01,2016.0,26.0,216.0,676.0,200.0,225.0,177.0,167.0
888,altuvjo01,2017.0,27.0,204.0,729.0,216.0,200.0,225.0,177.0
889,altuvjo01,2018.0,28.0,169.0,784.0,204.0,216.0,200.0,225.0
922,alvarpe01,2014.0,27.0,92.0,729.0,130.0,128.0,45.0,89.0
923,alvarpe01,2015.0,28.0,106.0,784.0,92.0,130.0,128.0,45.0
924,alvarpe01,2016.0,29.0,84.0,841.0,106.0,92.0,130.0,128.0
926,alvarpe01,2018.0,31.0,20.0,961.0,84.0,106.0,92.0,130.0
976,amarial01,2016.0,27.0,36.0,729.0,66.0,101.0,87.0,66.0
977,amarial01,2017.0,28.0,40.0,784.0,36.0,66.0,101.0,87.0
1011,amezaal01,2008.0,30.0,82.0,900.0,105.0,87.0,15.0,22.0
1013,amezaal01,2011.0,33.0,14.0,1089.0,82.0,105.0,87.0,15.0
1207,andruel01,2013.0,24.0,168.0,576.0,180.0,164.0,156.0,128.0
1208,andruel01,2014.0,25.0,163.0,625.0,168.0,180.0,164.0,156.0
1209,andruel01,2015.0,26.0,154.0,676.0,163.0,168.0,180.0,164.0
1210,andruel01,2016.0,27.0,153.0,729.0,154.0,163.0,168.0,180.0
1211,andruel01,2017.0,28.0,191.0,784.0,153.0,154.0,163.0,168.0
1212,andruel01,2018.0,29.0,101.0,841.0,191.0,153.0,154.0,163.0
1404,ariasjo01,2014.0,29.0,49.0,841.0,61.0,86.0,33.0,32.0
1567,atkinga01,2009.0,29.0,80.0,841.0,175.0,182.0,198.0,149.0
1568,atkinga01,2010.0,30.0,30.0,900.0,80.0,175.0,182.0,198.0
1705,avilaal01,2014.0,27.0,85.0,729.0,75.0,89.0,137.0,67.0
1706,avilaal01,2015.0,28.0,34.0,784.0,85.0,75.0,89.0,137.0
1707,avilaal01,2016.0,29.0,36.0,841.0,34.0,85.0,75.0,89.0
1708,avilaal01,2017.0,30.0,82.0,900.0,36.0,34.0,85.0,75.0
1709,avilaal01,2018.0,31.0,32.0,961.0,82.0,36.0,34.0,85.0
1725,avilemi01,2012.0,31.0,128.0,961.0,73.0,129.0,22.0,136.0
1726,avilemi01,2013.0,32.0,91.0,1024.0,128.0,73.0,129.0,22.0
1727,avilemi01,2014.0,33.0,85.0,1089.0,91.0,128.0,73.0,129.0
1728,avilemi01,2015.0,34.0,67.0,1156.0,85.0,91.0,128.0,73.0
1729,avilemi01,2016.0,35.0,35.0,1225.0,67.0,85.0,91.0,128.0
1730,avilemi01,2017.0,36.0,20.0,1296.0,35.0,67.0,85.0,91.0
1749,aybarer01,2011.0,27.0,155.0,729.0,135.0,157.0,96.0,46.0
1750,aybarer01,2012.0,28.0,150.0,784.0,155.0,135.0,157.0,96.0
1751,aybarer01,2013.0,29.0,149.0,841.0,150.0,155.0,135.0,157.0
1752,aybarer01,2014.0,30.0,164.0,900.0,149.0,150.0,155.0,135.0
1753,aybarer01,2015.0,31.0,161.0,961.0,164.0,149.0,150.0,155.0
1754,aybarer01,2016.0,32.0,101.0,1024.0,161.0,164.0,149.0,150.0
1755,aybarer01,2017.0,33.0,78.0,1089.0,101.0,161.0,164.0,149.0
2042,bakerje03,2011.0,30.0,54.0,900.0,56.0,65.0,80.0,32.0
2044,bakerje03,2013.0,32.0,43.0,1024.0,54.0,56.0,65.0,80.0
2045,bakerje03,2014.0,33.0,55.0,1089.0,43.0,54.0,56.0,65.0
2053,bakerjo01,2014.0,33.0,35.0,1089.0,46.0,17.0,101.0,59.0
2088,baldero01,2008.0,26.0,21.0,676.0,28.0,110.0,145.0,184.0
2089,baldero01,2009.0,27.0,38.0,729.0,21.0,28.0,110.0,145.0
2283,bardjo01,2007.0,29.0,111.0,841.0,83.0,16.0,74.0,20.0
2284,bardjo01,2008.0,30.0,36.0,900.0,111.0,83.0,16.0,74.0
2285,bardjo01,2009.0,31.0,63.0,961.0,36.0,111.0,83.0,16.0
2286,bardjo01,2010.0,32.0,24.0,1024.0,63.0,36.0,111.0,83.0
2287,bardjo01,2011.0,33.0,17.0,1089.0,24.0,63.0,36.0,111.0
2344,barmecl01,2010.0,31.0,91.0,961.0,135.0,114.0,105.0,101.0
2345,barmecl01,2011.0,32.0,109.0,1024.0,91.0,135.0,114.0,105.0
2346,barmecl01,2012.0,33.0,104.0,1089.0,109.0,91.0,135.0,114.0
2347,barmecl01,2013.0,34.0,64.0,1156.0,104.0,109.0,91.0,135.0
2348,barmecl01,2014.0,35.0,25.0,1225.0,64.0,104.0,109.0,91.0
2349,barmecl01,2015.0,36.0,48.0,1296.0,25.0,64.0,104.0,109.0
2403,barneda01,2014.0,28.0,57.0,784.0,104.0,139.0,146.0,19.0
2405,barneda01,2016.0,30.0,75.0,900.0,57.0,104.0,139.0,146.0
2406,barneda01,2017.0,31.0,78.0,961.0,75.0,57.0,104.0,139.0
2570,bartlja01,2009.0,29.0,160.0,841.0,130.0,135.0,103.0,54.0
2571,bartlja01,2010.0,30.0,119.0,900.0,160.0,130.0,135.0,103.0
2572,bartlja01,2011.0,31.0,136.0,961.0,119.0,160.0,130.0,135.0
2573,bartlja01,2012.0,32.0,11.0,1024.0,136.0,119.0,160.0,130.0
2593,bartoda02,2011.0,25.0,50.0,625.0,152.0,43.0,101.0,25.0
2594,bartoda02,2012.0,26.0,23.0,676.0,50.0,152.0,43.0,101.0
2595,bartoda02,2013.0,27.0,28.0,729.0,23.0,50.0,152.0,43.0
2824,bautijo02,2010.0,29.0,148.0,841.0,79.0,135.0,94.0,8.0
2825,bautijo02,2011.0,30.0,155.0,900.0,148.0,79.0,135.0,94.0
2826,bautijo02,2012.0,31.0,80.0,961.0,155.0,148.0,79.0,135.0
2827,bautijo02,2013.0,32.0,117.0,1024.0,80.0,155.0,148.0,79.0
2828,bautijo02,2014.0,33.0,158.0,1089.0,117.0,80.0,155.0,148.0
2829,bautijo02,2015.0,34.0,136.0,1156.0,158.0,117.0,80.0,155.0
2830,bautijo02,2016.0,35.0,99.0,1225.0,136.0,158.0,117.0,80.0
2831,bautijo02,2017.0,36.0,119.0,1296.0,99.0,136.0,158.0,117.0
2860,bayja01,2007.0,28.0,133.0,784.0,163.0,183.0,116.0,25.0
2861,bayja01,2008.0,29.0,165.0,841.0,133.0,163.0,183.0,116.0
2862,bayja01,2009.0,30.0,142.0,900.0,165.0,133.0,163.0,183.0
2863,bayja01,2010.0,31.0,90.0,961.0,142.0,165.0,133.0,163.0
2864,bayja01,2011.0,32.0,109.0,1024.0,90.0,142.0,165.0,133.0
2865,bayja01,2012.0,33.0,32.0,1089.0,109.0,90.0,142.0,165.0
2866,bayja01,2013.0,34.0,42.0,1156.0,32.0,109.0,90.0,142.0
3027,beckhgo01,2013.0,26.0,99.0,676.0,123.0,115.0,112.0,102.0
3028,beckhgo01,2014.0,27.0,101.0,729.0,99.0,123.0,115.0,112.0
3029,beckhgo01,2015.0,28.0,44.0,784.0,101.0,99.0,123.0,115.0
3030,beckhgo01,2016.0,29.0,52.0,841.0,44.0,101.0,99.0,123.0
3312,beltbr01,2015.0,27.0,138.0,729.0,52.0,147.0,113.0,42.0
3313,beltbr01,2016.0,28.0,149.0,784.0,138.0,52.0,147.0,113.0
3314,beltbr01,2017.0,29.0,92.0,841.0,149.0,138.0,52.0,147.0
3315,beltbr01,2018.0,30.0,101.0,900.0,92.0,149.0,138.0,52.0
3321,beltrca01,2003.0,26.0,160.0,676.0,174.0,189.0,92.0,194.0
3322,beltrca01,2004.0,27.0,86.0,729.0,160.0,174.0,189.0,92.0
3323,beltrca01,2005.0,28.0,155.0,784.0,86.0,160.0,174.0,189.0
3324,beltrca01,2006.0,29.0,140.0,841.0,155.0,86.0,160.0,174.0
3325,beltrca01,2007.0,30.0,153.0,900.0,140.0,155.0,86.0,160.0
