,player_id,Year,Age,R,Age^2,R_1,R_2,R_3,R_4
220,adamsma01,2016.0,27.0,37.0,729.0,14.0,55.0,46.0,8.0
221,adamsma01,2017.0,28.0,46.0,784.0,37.0,14.0,55.0,46.0
222,adamsma01,2018.0,29.0,42.0,841.0,46.0,37.0,14.0,55.0
772,alonsyo01,2015.0,28.0,50.0,784.0,27.0,34.0,47.0,9.0
773,alonsyo01,2016.0,29.0,52.0,841.0,50.0,27.0,34.0,47.0
774,alonsyo01,2017.0,30.0,72.0,900.0,52.0,50.0,27.0,34.0
775,alonsyo01,2018.0,31.0,64.0,961.0,72.0,52.0,50.0,27.0
886,altuvjo01,2015.0,25.0,86.0,625.0,85.0,64.0,80.0,26.0
887,altuvjo01,2016.0,26.0,108.0,676.0,86.0,85.0,64.0,80.0
888,altuvjo01,2017.0,27.0,112.0,729.0,108.0,86.0,85.0,64.0
889,altuvjo01,2018.0,28.0,84.0,784.0,112.0,108.0,86.0,85.0
922,alvarpe01,2014.0,27.0,46.0,729.0,70.0,64.0,18.0,42.0
923,alvarpe01,2015.0,28.0,60.0,784.0,46.0,70.0,64.0,18.0
924,alvarpe01,2016.0,29.0,43.0,841.0,60.0,46.0,70.0,64.0
926,alvarpe01,2018.0,31.0,18.0,961.0,43.0,60.0,46.0,70.0
976,amarial01,2016.0,27.0,9.0,729.0,28.0,39.0,35.0,36.0
977,amarial01,2017.0,28.0,22.0,784.0,9.0,28.0,39.0,35.0
1011,amezaal01,2008.0,30.0,41.0,900.0,46.0,42.0,12.0,15.0
1013,amezaal01,2011.0,33.0,6.0,1089.0,41.0,46.0,42.0,12.0
1207,andruel01,2013.0,24.0,91.0,576.0,85.0,96.0,88.0,72.0
1208,andruel01,2014.0,25.0,72.0,625.0,91.0,85.0,96.0,88.0
1209,andruel01,2015.0,26.0,69.0,676.0,72.0,91.0,85.0,96.0
1210,andruel01,2016.0,27.0,75.0,729.0,69.0,72.0,91.0,85.0
1211,andruel01,2017.0,28.0,100.0,784.0,75.0,69.0,72.0,91.0
1212,andruel01,2018.0,29.0,53.0,841.0,100.0,75.0,69.0,72.0
1404,ariasjo01,2014.0,29.0,18.0,841.0,17.0,30.0,23.0,15.0
1567,atkinga01,2009.0,29.0,37.0,841.0,86.0,83.0,117.0,62.0
1568,atkinga01,2010.0,30.0,5.0,900.0,37.0,86.0,83.0,117.0
1705,avilaal01,2014.0,27.0,44.0,729.0,39.0,42.0,63.0,28.0
1706,avilaal01,2015.0,28.0,21.0,784.0,44.0,39.0,42.0,63.0
1707,avilaal01,2016.0,29.0,19.0,841.0,21.0,44.0,39.0,42.0
1708,avilaal01,2017.0,30.0,41.0,900.0,19.0,21.0,44.0,39.0
1709,avilaal01,2018.0,31.0,13.0,961.0,41.0,19.0,21.0,44.0
1725,avilemi01,2012.0,31.0,57.0,961.0,31.0,63.0,10.0,68.0
1726,avilemi01,2013.0,32.0,54.0,1024.0,57.0,31.0,63.0,10.0
1727,avilemi01,2014.0,33.0,38.0,1089.0,54.0,57.0,31.0,63.0
1728,avilemi01,2015.0,34.0,37.0,1156.0,38.0,54.0,57.0,31.0
1729,avilemi01,2016.0,35.0,17.0,1225.0,37.0,38.0,54.0,57.0
1730,avilemi01,2017.0,36.0,5.0,1296.0,17.0,37.0,38.0,54.0
1749,aybarer01,2011.0,27.0,71.0,729.0,69.0,70.0,53.0,18.0
1750,aybarer01,2012.0,28.0,67.0,784.0,71.0,69.0,70.0,53.0
1751,aybarer01,2013.0,29.0,68.0,841.0,67.0,71.0,69.0,70.0
1752,aybarer01,2014.0,30.0,77.0,900.0,68.0,67.0,71.0,69.0
1753,aybarer01,2015.0,31.0,74.0,961.0,77.0,68.0,67.0,71.0
1754,aybarer01,2016.0,32.0,34.0,1024.0,74.0,77.0,68.0,67.0
1755,aybarer01,2017.0,33.0,37.0,1089.0,34.0,74.0,77.0,68.0
2042,bakerje03,2011.0,30.0,20.0,900.0,29.0,27.0,55.0,17.0
2044,bakerje03,2013.0,32.0,21.0,1024.0,20.0,29.0,27.0,55.0
2045,bakerje03,2014.0,33.0,27.0,1089.0,21.0,20.0,29.0,27.0
