,player_id,Year,Age,SB,Age^2,SB_1,SB_2,SB_3,SB_4
220,adamsma01,2016.0,27.0,0.0,729.0,1.0,3.0,0.0,0.0
221,adamsma01,2017.0,28.0,0.0,784.0,0.0,1.0,3.0,0.0
222,adamsma01,2018.0,29.0,0.0,841.0,0.0,0.0,1.0,3.0
772,alonsyo01,2015.0,28.0,2.0,784.0,6.0,6.0,3.0,0.0
773,alonsyo01,2016.0,29.0,3.0,841.0,2.0,6.0,6.0,3.0
774,alonsyo01,2017.0,30.0,2.0,900.0,3.0,2.0,6.0,6.0
775,alonsyo01,2018.0,31.0,0.0,961.0,2.0,3.0,2.0,6.0
886,altuvjo01,2015.0,25.0,38.0,625.0,56.0,35.0,33.0,7.0
887,altuvjo01,2016.0,26.0,30.0,676.0,38.0,56.0,35.0,33.0
888,altuvjo01,2017.0,27.0,32.0,729.0,30.0,38.0,56.0,35.0
889,altuvjo01,2018.0,28.0,17.0,784.0,32.0,30.0,38.0,56.0
922,alvarpe01,2014.0,27.0,8.0,729.0,2.0,1.0,1.0,0.0
923,alvarpe01,2015.0,28.0,2.0,784.0,8.0,2.0,1.0,1.0
924,alvarpe01,2016.0,29.0,1.0,841.0,2.0,8.0,2.0,1.0
926,alvarpe01,2018.0,31.0,0.0,961.0,1.0,2.0,8.0,2.0
976,amarial01,2016.0,27.0,9.0,729.0,5.0,12.0,4.0,8.0
977,amarial01,2017.0,28.0,1.0,784.0,9.0,5.0,12.0,4.0
1011,amezaal01,2008.0,30.0,8.0,900.0,13.0,20.0,3.0,2.0
1013,amezaal01,2011.0,33.0,0.0,1089.0,8.0,13.0,20.0,3.0
1207,andruel01,2013.0,24.0,42.0,576.0,21.0,37.0,32.0,33.0
1208,andruel01,2014.0,25.0,27.0,625.0,42.0,21.0,37.0,32.0
1209,andruel01,2015.0,26.0,25.0,676.0,27.0,42.0,21.0,37.0
1210,andruel01,2016.0,27.0,24.0,729.0,25.0,27.0,42.0,21.0
1211,andruel01,2017.0,28.0,25.0,784.0,24.0,25.0,27.0,42.0
1212,andruel01,2018.0,29.0,5.0,841.0,25.0,24.0,25.0,27.0
1404,ariasjo01,2014.0,29.0,1.0,841.0,1.0,5.0,1.0,4.0
1567,atkinga01,2009.0,29.0,0.0,841.0,1.0,3.0,4.0,0.0
1568,atkinga01,2010.0,30.0,0.0,900.0,0.0,1.0,3.0,4.0
1705,avilaal01,2014.0,27.0,0.0,729.0,0.0,2.0,3.0,2.0
1706,avilaal01,2015.0,28.0,0.0,784.0,0.0,0.0,2.0,3.0
1707,avilaal01,2016.0,29.0,0.0,841.0,0.0,0.0,0.0,2.0
1708,avilaal01,2017.0,30.0,0.0,900.0,0.0,0.0,0.0,0.0
1709,avilaal01,2018.0,31.0,0.0,961.0,0.0,0.0,0.0,0.0
1725,avilemi01,2012.0,31.0,14.0,961.0,14.0,14.0,1.0,8.0
1726,avilemi01,2013.0,32.0,8.0,1024.0,14.0,14.0,14.0,1.0
1727,avilemi01,2014.0,33.0,14.0,1089.0,8.0,14.0,14.0,14.0
1728,avilemi01,2015.0,34.0,3.0,1156.0,14.0,8.0,14.0,14.0
1729,avilemi01,2016.0,35.0,2.0,1225.0,3.0,14.0,8.0,14.0
1730,avilemi01,2017.0,36.0,0.0,1296.0,2.0,3.0,14.0,8.0
1749,aybarer01,2011.0,27.0,30.0,729.0,22.0,14.0,7.0,4.0
1750,aybarer01,2012.0,28.0,20.0,784.0,30.0,22.0,14.0,7.0
1751,aybarer01,2013.0,29.0,12.0,841.0,20.0,30.0,22.0,14.0
1752,aybarer01,2014.0,30.0,16.0,900.0,12.0,20.0,30.0,22.0
1753,aybarer01,2015.0,31.0,15.0,961.0,16.0,12.0,20.0,30.0
1754,aybarer01,2016.0,32.0,3.0,1024.0,15.0,16.0,12.0,20.0
1755,aybarer01,2017.0,33.0,11.0,1089.0,3.0,15.0,16.0,12.0
2042,bakerje03,2011.0,30.0,0.0,900.0,1.0,1.0,4.0,0.0
2044,bakerje03,2013.0,32.0,1.0,1024.0,0.0,1.0,1.0,4.0
2045,bakerje03,2014.0,33.0,1.0,1089.0,1.0,0.0,1.0,1.0
2053,bakerjo01,2014.0,33.0,0.0,1089.0,2.0,0.0,0.0,0.0
2088,baldero01,2008.0,26.0,0.0,676.0,4.0,10.0,17.0,27.0
2089,baldero01,2009.0,27.0,1.0,729.0,0.0,4.0,10.0,17.0
2283,bardjo01,2007.0,29.0,0.0,841.0,1.0,0.0,0.0,0.0
2284,bardjo01,2008.0,30.0,0.0,900.0,0.0,1.0,0.0,0.0
2285,bardjo01,2009.0,31.0,0.0,961.0,0.0,0.0,1.0,0.0
2286,bardjo01,2010.0,32.0,0.0,1024.0,0.0,0.0,0.0,1.0
2287,bardjo01,2011.0,33.0,0.0,1089.0,0.0,0.0,0.0,0.0
2344,barmecl01,2010.0,31.0,3.0,961.0,12.0,13.0,5.0,6.0
2345,barmecl01,2011.0,32.0,3.0,1024.0,3.0,12.0,13.0,5.0
2346,barmecl01,2012.0,33.0,0.0,1089.0,3.0,3.0,12.0,13.0
2347,barmecl01,2013.0,34.0,0.0,1156.0,0.0,3.0,3.0,12.0
2348,barmecl01,2014.0,35.0,1.0,1225.0,0.0,0.0,3.0,3.0
2349,barmecl01,2015.0,36.0,0.0,1296.0,1.0,0.0,0.0,3.0
2403,barneda01,2014.0,28.0,1.0,784.0,4.0,6.0,9.0,0.0
2405,barneda01,2016.0,30.0,2.0,900.0,1.0,4.0,6.0,9.0
2406,barneda01,2017.0,31.0,7.0,961.0,2.0,1.0,4.0,6.0
2570,bartlja01,2009.0,29.0,30.0,841.0,20.0,23.0,10.0,4.0
2571,bartlja01,2010.0,30.0,11.0,900.0,30.0,20.0,23.0,10.0
2572,bartlja01,2011.0,31.0,23.0,961.0,11.0,30.0,20.0,23.0
2573,bartlja01,2012.0,32.0,0.0,1024.0,23.0,11.0,30.0,20.0
2593,bartoda02,2011.0,25.0,2.0,625.0,7.0,0.0,2.0,1.0
2594,bartoda02,2012.0,26.0,1.0,676.0,2.0,7.0,0.0,2.0
2595,bartoda02,2013.0,27.0,0.0,729.0,1.0,2.0,7.0,0.0
2824,bautijo02,2010.0,29.0,9.0,841.0,4.0,6.0,2.0,0.0
2825,bautijo02,2011.0,30.0,9.0,900.0,9.0,4.0,6.0,2.0
2826,bautijo02,2012.0,31.0,5.0,961.0,9.0,9.0,4.0,6.0
2827,bautijo02,2013.0,32.0,7.0,1024.0,5.0,9.0,9.0,4.0
2828,bautijo02,2014.0,33.0,6.0,1089.0,7.0,5.0,9.0,9.0
2829,bautijo02,2015.0,34.0,8.0,1156.0,6.0,7.0,5.0,9.0
2830,bautijo02,2016.0,35.0,2.0,1225.0,8.0,6.0,7.0,5.0
2831,bautijo02,2017.0,36.0,6.0,1296.0,2.0,8.0,6.0,7.0
2860,bayja01,2007.0,28.0,4.0,784.0,11.0,21.0,4.0,3.0
2861,bayja01,2008.0,29.0,10.0,841.0,4.0,11.0,21.0,4.0
2862,bayja01,2009.0,30.0,13.0,900.0,10.0,4.0,11.0,21.0
2863,bayja01,2010.0,31.0,10.0,961.0,13.0,10.0,4.0,11.0
2864,bayja01,2011.0,32.0,11.0,1024.0,10.0,13.0,10.0,4.0
2865,bayja01,2012.0,33.0,5.0,1089.0,11.0,10.0,13.0,10.0
2866,bayja01,2013.0,34.0,3.0,1156.0,5.0,11.0,10.0,13.0
3027,beckhgo01,2013.0,26.0,5.0,676.0,5.0,5.0,4.0,7.0
3028,beckhgo01,2014.0,27.0,3.0,729.0,5.0,5.0,5.0,4.0
3029,beckhgo01,2015.0,28.0,0.0,784.0,3.0,5.0,5.0,5.0
3030,beckhgo01,2016.0,29.0,1.0,841.0,0.0,3.0,5.0,5.0
3312,beltbr01,2015.0,27.0,9.0,729.0,3.0,5.0,12.0,3.0
3313,beltbr01,2016.0,28.0,0.0,784.0,9.0,3.0,5.0,12.0
3314,beltbr01,2017.0,29.0,3.0,841.0,0.0,9.0,3.0,5.0
3315,beltbr01,2018.0,30.0,4.0,900.0,3.0,0.0,9.0,3.0
3321,beltrca01,2003.0,26.0,41.0,676.0,35.0,31.0,13.0,27.0
3322,beltrca01,2004.0,27.0,42.0,729.0,41.0,35.0,31.0,13.0
3323,beltrca01,2005.0,28.0,17.0,784.0,42.0,41.0,35.0,31.0
3324,beltrca01,2006.0,29.0,18.0,841.0,17.0,42.0,41.0,35.0
3325,beltrca01,2007.0,30.0,23.0,900.0,18.0,17.0,42.0,41.0
3326,beltrca01,2008.0,31.0,25.0,961.0,23.0,18.0,17.0,42.0
3327,beltrca01,2009.0,32.0,11.0,1024.0,25.0,23.0,18.0,17.0
3328,beltrca01,2010.0,33.0,3.0,1089.0,11.0,25.0,23.0,18.0
3329,beltrca01,2011.0,34.0,4.0,1156.0,3.0,11.0,25.0,23.0
3330,beltrca01,2012.0,35.0,13.0,1225.0,4.0,3.0,11.0,25.0
3331,beltrca01,2013.0,36.0,2.0,1296.0,13.0,4.0,3.0,11.0
3332,beltrca01,2014.0,37.0,3.0,1369.0,2.0,13.0,4.0,3.0
3333,beltrca01,2015.0,38.0,0.0,1444.0,3.0,2.0,13.0,4.0
3334,beltrca01,2016.0,39.0,1.0,1521.0,0.0,3.0,2.0,13.0
3335,beltrca01,2017.0,40.0,0.0,1600.0,1.0,0.0,3.0,2.0
3669,bernaro01,2013.0,29.0,4.0,841.0,15.0,17.0,16.0,4.0
3743,berroan01,2006.0,28.0,3.0,784.0,7.0,14.0,21.0,3.0
3745,berroan01,2008.0,30.0,0.0,900.0,3.0,7.0,14.0,21.0
3862,betanyu01,2009.0,27.0,3.0,729.0,4.0,5.0,11.0,1.0
3863,betanyu01,2010.0,28.0,2.0,784.0,3.0,4.0,5.0,11.0
3864,betanyu01,2011.0,29.0,4.0,841.0,2.0,3.0,4.0,5.0
3865,betanyu01,2012.0,30.0,0.0,900.0,4.0,2.0,3.0,4.0
3866,betanyu01,2013.0,31.0,0.0,961.0,0.0,4.0,2.0,3.0
3875,betemwi01,2010.0,28.0,0.0,784.0,0.0,0.0,3.0,1.0
3876,betemwi01,2011.0,29.0,4.0,841.0,0.0,0.0,0.0,3.0
3877,betemwi01,2012.0,30.0,0.0,900.0,4.0,0.0,0.0,0.0
4135,blackch02,2015.0,28.0,43.0,784.0,28.0,7.0,1.0,5.0
4136,blackch02,2016.0,29.0,17.0,841.0,43.0,28.0,7.0,1.0
4137,blackch02,2017.0,30.0,14.0,900.0,17.0,43.0,28.0,7.0
4138,blackch02,2018.0,31.0,12.0,961.0,14.0,17.0,43.0,28.0
4221,blaloha01,2006.0,25.0,1.0,625.0,1.0,2.0,2.0,0.0
4222,blaloha01,2007.0,26.0,4.0,676.0,1.0,1.0,2.0,2.0
4223,blaloha01,2008.0,27.0,1.0,729.0,4.0,1.0,1.0,2.0
4224,blaloha01,2009.0,28.0,2.0,784.0,1.0,4.0,1.0,1.0
4241,blancan01,2011.0,27.0,0.0,729.0,0.0,0.0,0.0,0.0
4243,blancan01,2015.0,31.0,1.0,961.0,0.0,0.0,0.0,0.0
4244,blancan01,2016.0,32.0,2.0,1024.0,1.0,0.0,0.0,0.0
4245,blancan01,2017.0,33.0,1.0,1089.0,2.0,1.0,0.0,0.0
4254,blancgr01,2014.0,30.0,16.0,900.0,14.0,26.0,11.0,13.0
4255,blancgr01,2015.0,31.0,13.0,961.0,16.0,14.0,26.0,11.0
4256,blancgr01,2016.0,32.0,6.0,1024.0,13.0,16.0,14.0,26.0
4257,blancgr01,2017.0,33.0,15.0,1089.0,6.0,13.0,16.0,14.0
4258,blancgr01,2018.0,34.0,6.0,1156.0,15.0,6.0,13.0,16.0
4409,bloomwi01,2007.0,29.0,7.0,841.0,16.0,14.0,13.0,4.0
4410,bloomwi01,2008.0,30.0,14.0,900.0,7.0,16.0,14.0,13.0
4411,bloomwi01,2009.0,31.0,25.0,961.0,14.0,7.0,16.0,14.0
4412,bloomwi01,2010.0,32.0,8.0,1024.0,25.0,14.0,7.0,16.0
4413,bloomwi01,2011.0,33.0,20.0,1089.0,8.0,25.0,14.0,7.0
4414,bloomwi01,2012.0,34.0,7.0,1156.0,20.0,8.0,25.0,14.0
4415,bloomwi01,2013.0,35.0,0.0,1225.0,7.0,20.0,8.0,25.0
4416,bloomwi01,2014.0,36.0,1.0,1296.0,0.0,7.0,20.0,8.0
4725,bonifem01,2012.0,27.0,30.0,729.0,40.0,12.0,21.0,7.0
4726,bonifem01,2013.0,28.0,28.0,784.0,30.0,40.0,12.0,21.0
4727,bonifem01,2014.0,29.0,26.0,841.0,28.0,30.0,40.0,12.0
4728,bonifem01,2015.0,30.0,1.0,900.0,26.0,28.0,30.0,40.0
5094,bourjpe01,2014.0,27.0,9.0,729.0,6.0,3.0,22.0,10.0
5095,bourjpe01,2015.0,28.0,5.0,784.0,9.0,6.0,3.0,22.0
5096,bourjpe01,2016.0,29.0,6.0,841.0,5.0,9.0,6.0,3.0
5097,bourjpe01,2017.0,30.0,5.0,900.0,6.0,5.0,9.0,6.0
5104,bournmi01,2011.0,28.0,61.0,784.0,52.0,61.0,41.0,18.0
5105,bournmi01,2012.0,29.0,42.0,841.0,61.0,52.0,61.0,41.0
5106,bournmi01,2013.0,30.0,23.0,900.0,42.0,61.0,52.0,61.0
5107,bournmi01,2014.0,31.0,10.0,961.0,23.0,42.0,61.0,52.0
5108,bournmi01,2015.0,32.0,4.0,1024.0,10.0,23.0,42.0,61.0
5445,brantmi02,2013.0,26.0,17.0,676.0,12.0,13.0,10.0,4.0
5446,brantmi02,2014.0,27.0,23.0,729.0,17.0,12.0,13.0,10.0
5447,brantmi02,2015.0,28.0,15.0,784.0,23.0,17.0,12.0,13.0
5449,brantmi02,2017.0,30.0,11.0,900.0,15.0,23.0,17.0,12.0
5450,brantmi02,2018.0,31.0,12.0,961.0,11.0,15.0,23.0,17.0
5483,braunry02,2011.0,27.0,33.0,729.0,14.0,20.0,14.0,15.0
5484,braunry02,2012.0,28.0,30.0,784.0,33.0,14.0,20.0,14.0
5485,braunry02,2013.0,29.0,4.0,841.0,30.0,33.0,14.0,20.0
5486,braunry02,2014.0,30.0,11.0,900.0,4.0,30.0,33.0,14.0
5487,braunry02,2015.0,31.0,24.0,961.0,11.0,4.0,30.0,33.0
5488,braunry02,2016.0,32.0,16.0,1024.0,24.0,11.0,4.0,30.0
5489,braunry02,2017.0,33.0,12.0,1089.0,16.0,24.0,11.0,4.0
5490,braunry02,2018.0,34.0,11.0,1156.0,12.0,16.0,24.0,11.0
5742,brignre01,2014.0,28.0,1.0,784.0,0.0,3.0,3.0,2.0
5934,brousbe01,2006.0,29.0,2.0,841.0,2.0,4.0,5.0,0.0
5935,brousbe01,2007.0,30.0,2.0,900.0,2.0,2.0,4.0,5.0
5936,brousbe01,2008.0,31.0,0.0,961.0,2.0,2.0,2.0,4.0
6283,bruceja01,2012.0,25.0,9.0,625.0,8.0,5.0,3.0,4.0
6284,bruceja01,2013.0,26.0,7.0,676.0,9.0,8.0,5.0,3.0
6285,bruceja01,2014.0,27.0,12.0,729.0,7.0,9.0,8.0,5.0
6286,bruceja01,2015.0,28.0,9.0,784.0,12.0,7.0,9.0,8.0
6287,bruceja01,2016.0,29.0,4.0,841.0,9.0,12.0,7.0,9.0
6288,bruceja01,2017.0,30.0,1.0,900.0,4.0,9.0,12.0,7.0
6289,bruceja01,2018.0,31.0,2.0,961.0,1.0,4.0,9.0,12.0
6352,brunter01,2009.0,31.0,2.0,961.0,9.0,6.0,3.0,7.0
6424,buckjo01,2008.0,27.0,0.0,729.0,0.0,0.0,2.0,1.0
6425,buckjo01,2009.0,28.0,1.0,784.0,0.0,0.0,0.0,2.0
6426,buckjo01,2010.0,29.0,0.0,841.0,1.0,0.0,0.0,0.0
6427,buckjo01,2011.0,30.0,0.0,900.0,0.0,1.0,0.0,0.0
6428,buckjo01,2012.0,31.0,0.0,961.0,0.0,0.0,1.0,0.0
6429,buckjo01,2013.0,32.0,2.0,1024.0,0.0,0.0,0.0,1.0
6430,buckjo01,2014.0,33.0,0.0,1089.0,2.0,0.0,0.0,0.0
6916,burrose01,2011.0,30.0,1.0,900.0,4.0,5.0,7.0,2.0
7016,buterdr01,2015.0,31.0,0.0,961.0,0.0,0.0,0.0,0.0
7017,buterdr01,2016.0,32.0,0.0,1024.0,0.0,0.0,0.0,0.0
7018,buterdr01,2017.0,33.0,0.0,1089.0,0.0,0.0,0.0,0.0
7019,buterdr01,2018.0,34.0,0.0,1156.0,0.0,0.0,0.0,0.0
7042,butlebi03,2011.0,25.0,2.0,625.0,0.0,1.0,0.0,0.0
7043,butlebi03,2012.0,26.0,2.0,676.0,2.0,0.0,1.0,0.0
7044,butlebi03,2013.0,27.0,0.0,729.0,2.0,2.0,0.0,1.0
7045,butlebi03,2014.0,28.0,0.0,784.0,0.0,2.0,2.0,0.0
7046,butlebi03,2015.0,29.0,0.0,841.0,0.0,0.0,2.0,2.0
7047,butlebi03,2016.0,30.0,0.0,900.0,0.0,0.0,0.0,2.0
7109,byrdma01,2007.0,29.0,5.0,841.0,3.0,5.0,2.0,11.0
7110,byrdma01,2008.0,30.0,7.0,900.0,5.0,3.0,5.0,2.0
7111,byrdma01,2009.0,31.0,8.0,961.0,7.0,5.0,3.0,5.0
7112,byrdma01,2010.0,32.0,5.0,1024.0,8.0,7.0,5.0,3.0
7113,byrdma01,2011.0,33.0,3.0,1089.0,5.0,8.0,7.0,5.0
7115,byrdma01,2013.0,35.0,2.0,1225.0,3.0,5.0,8.0,7.0
7116,byrdma01,2014.0,36.0,3.0,1296.0,2.0,3.0,5.0,8.0
7117,byrdma01,2015.0,37.0,2.0,1369.0,3.0,2.0,3.0,5.0
7118,byrdma01,2016.0,38.0,0.0,1444.0,2.0,3.0,2.0,3.0
7185,cabreas01,2011.0,25.0,17.0,625.0,6.0,17.0,4.0,0.0
7186,cabreas01,2012.0,26.0,9.0,676.0,17.0,6.0,17.0,4.0
7187,cabreas01,2013.0,27.0,9.0,729.0,9.0,17.0,6.0,17.0
7188,cabreas01,2014.0,28.0,10.0,784.0,9.0,9.0,17.0,6.0
7189,cabreas01,2015.0,29.0,6.0,841.0,10.0,9.0,9.0,17.0
7190,cabreas01,2016.0,30.0,5.0,900.0,6.0,10.0,9.0,9.0
7191,cabreas01,2017.0,31.0,3.0,961.0,5.0,6.0,10.0,9.0
7192,cabreas01,2018.0,32.0,0.0,1024.0,3.0,5.0,6.0,10.0
7198,cabreev01,2014.0,27.0,18.0,729.0,37.0,44.0,10.0,25.0
7199,cabreev01,2015.0,28.0,2.0,784.0,18.0,37.0,44.0,10.0
7218,cabreme01,2010.0,25.0,7.0,625.0,10.0,9.0,13.0,12.0
7219,cabreme01,2011.0,26.0,20.0,676.0,7.0,10.0,9.0,13.0
7220,cabreme01,2012.0,27.0,13.0,729.0,20.0,7.0,10.0,9.0
7221,cabreme01,2013.0,28.0,2.0,784.0,13.0,20.0,7.0,10.0
7222,cabreme01,2014.0,29.0,6.0,841.0,2.0,13.0,20.0,7.0
7223,cabreme01,2015.0,30.0,3.0,900.0,6.0,2.0,13.0,20.0
7224,cabreme01,2016.0,31.0,2.0,961.0,3.0,6.0,2.0,13.0
7225,cabreme01,2017.0,32.0,1.0,1024.0,2.0,3.0,6.0,2.0
7226,cabreme01,2018.0,33.0,1.0,1089.0,1.0,2.0,3.0,6.0
7231,cabremi01,2007.0,24.0,2.0,576.0,9.0,1.0,5.0,0.0
7232,cabremi01,2008.0,25.0,1.0,625.0,2.0,9.0,1.0,5.0
7233,cabremi01,2009.0,26.0,6.0,676.0,1.0,2.0,9.0,1.0
7234,cabremi01,2010.0,27.0,3.0,729.0,6.0,1.0,2.0,9.0
7235,cabremi01,2011.0,28.0,2.0,784.0,3.0,6.0,1.0,2.0
7236,cabremi01,2012.0,29.0,4.0,841.0,2.0,3.0,6.0,1.0
7237,cabremi01,2013.0,30.0,3.0,900.0,4.0,2.0,3.0,6.0
7238,cabremi01,2014.0,31.0,1.0,961.0,3.0,4.0,2.0,3.0
7239,cabremi01,2015.0,32.0,1.0,1024.0,1.0,3.0,4.0,2.0
7240,cabremi01,2016.0,33.0,0.0,1089.0,1.0,1.0,3.0,4.0
7241,cabremi01,2017.0,34.0,0.0,1156.0,0.0,1.0,1.0,3.0
7242,cabremi01,2018.0,35.0,0.0,1225.0,0.0,0.0,1.0,1.0
7285,cainlo01,2015.0,29.0,28.0,841.0,28.0,14.0,10.0,7.0
7286,cainlo01,2016.0,30.0,14.0,900.0,28.0,28.0,14.0,10.0
7287,cainlo01,2017.0,31.0,26.0,961.0,14.0,28.0,28.0,14.0
7288,cainlo01,2018.0,32.0,30.0,1024.0,26.0,14.0,28.0,28.0
7329,calhoko01,2017.0,29.0,5.0,841.0,2.0,4.0,5.0,2.0
7330,calhoko01,2018.0,30.0,6.0,900.0,5.0,2.0,4.0,5.0
7365,callaal01,2011.0,28.0,8.0,784.0,5.0,2.0,2.0,1.0
7366,callaal01,2012.0,29.0,4.0,841.0,8.0,5.0,2.0,2.0
7367,callaal01,2013.0,30.0,0.0,900.0,4.0,8.0,5.0,2.0
7368,callaal01,2014.0,31.0,0.0,961.0,0.0,4.0,8.0,5.0
